institution,collection,series,specimen,code,label_name,name,abnormal_side,maturity,sex,collector,identified_by,datum,continent,country,state_province,county_district,city,specific_locality,collection_mode,dec_lat,dec_long,date,previous_identifications,label_comments,comments,X,X.1,X.2,X.3,species
CRI,PCHP,,11217,PCHP11217,,Cuora amboinensis,NA,juvenile,,,,,no data,no data,no data,no data,no data,,,NA,NA,2006,NA,Juv, No data,2006,,,,Cuora amboinensis
CRI,PCHP,,3993,PCHP3993,,Cuora aurocapitata,NA,adult,,William McCord,,,Asia,China,Anhui,Nanling,,,,NA,NA,1993,NA,Ad. China: Anhui (Nanling Co.). Ex. W. McCord 1993,Scutes on plastron,,,,,Cuora aurocapitata
CRI,PCHP,,4220,PCHP4220,,Cuora aurocapitata,NA,adult,f,"O. Shiu, W. McCord",,,Asia,China,Anhui,Nanling,,,,NA,NA,Jul-94,NA,Ad. Female. China: Anhui Nanling Co. O.Shiu/W. McCord. Jul 1994,,,,,,Cuora aurocapitata
CRI,PCHP,,4217,PCHP4217,,Cuora mccordi,NA,adult,,"O. Shiu, W. McCord",,,Asia,China,Guanxi,,,,,NA,NA,1994,NA,"Cihna: Yunnan: nr. Paise (Guanxi). O. Shiu/W. McCord, 1994.",,,,,,Cuora mccordi
CRI,PCHP,,3925,PCHP3925,,Cuora pani,NA,adult,,"William McCord, O. Shiu",,,Asia,China,Yunnan,,,Tahau Shan or Chin, Ping,NA,NA,,1992,,"China: Yunnan : Ta hau Shan or Chin; Ping; W. McCord/O. Shiu, 1992",pleurals 3L 4R,,,,Cuora pani
CRI,PCHP,,4193,PCHP4193,,Cuora zhoui,NA,adult,m,"O. Shiu, W. McCord",,,Asia,China,Yunnan,Wuting or Yuanmow,,,,NA,NA,Jul-94,NA,Ad. Male. China: Yunnan: Wuting or Yuanmow. O. Shiu/W. McCord. Jul. 1994,many sutures too worn off to digitise,,,,,Cuora zhoui
CRI,PCHP,,3460,PCHP3460,,Cuora amboinensis,NA,adult,m,William McCord,,,Asia,Indonesia,Java,,,,,NA,NA,1991,NA,"Ad. Male. Indonesia: Java. Ex. W. McCord, 1991",,,,,,Cuora amboinensis
CRI,PCHP,,5078,PCHP5078,,Cuora amboinensis couro,NA,adult,,,,,,,,,,,,NA,NA,,NA,,"""casero""?",,,,,Cuora amboinensis
CRI,PCHP,,5473,PCHP5473,,Cuora flavomarginata,NA,adult,,,,,,,,,,,,NA,NA,,NA,No data,,,,,,Cuora flavomarginata
CRI,PCHP,,3818,PCHP3818,,Cuora flavomarginata,NA,adult,f,,,,no data,no data,no data,no data,no data,,,NA,NA,,NA,Ad.? Female, No data,,,,,Cuora flavomarginata
CRI,PCHP,,3242,PCHP3242,,Cuora galbinifrons,NA,adult,,William McCord,,,no data,no data,no data,no data,no data,,,NA,NA,1991,NA,"No data. (W. McCord, 1991)",,,,,,Cuora galbinifrons
CRI,PCHP,,12211,PCHP12211,,Cuora picturata,NA,juvenile,,T. Walsh,,,no data,no data,no data,no data,no data,,,NA,NA,2006,NA,Juv, no data, T. Walsh 2006,,,,Cuora picturata
